phase,case,step,particle,gauge,chi_read,tau_read,delta_chi_read,R_read,eta_mode,delta_chi_gauge_offset,delta_tau_gauge_offset,phase_bias,gain,nh_c
phase0_no_coupling,no_coupling,7,B,g_phase_minus,0.24999999999999997,0.0,0.0,1.5625,2,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,7,B,g_gain_high,0.25,0.0,0.0,1.953125,2,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,7,B,g_width_high,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,7,C,g0,0.0,0.0,0.0,100.0,0,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,7,C,g_chi_plus,0.0004999999999999999,0.0,0.0,100.0,0,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,7,C,g_chi_minus,-0.0004999999999999999,0.0,0.0,100.0,0,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,7,C,g_tau_plus,0.0,0.0004999999999999999,0.0,100.0,0,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,7,C,g_tau_minus,0.0,-0.0004999999999999999,0.0,100.0,0,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,7,C,g_phase_plus,1.6918234906699602e-17,0.0,0.0,100.0,0,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,7,C,g_phase_minus,-2.279775235351884e-17,0.0,0.0,100.0,0,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,7,C,g_gain_high,0.0,0.0,0.0,125.0,0,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,7,C,g_width_high,0.0,0.0,0.0,100.0,0,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,8,A,g0,-0.25,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,8,A,g_chi_plus,-0.2495,0.0,0.0,1.0,1,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,8,A,g_chi_minus,-0.2505,0.0,0.0,1.0,1,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,8,A,g_tau_plus,-0.25,0.0004999999999999999,0.0,1.0,1,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,8,A,g_tau_minus,-0.25,-0.0004999999999999999,0.0,1.0,1,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,8,A,g_phase_plus,-0.24999999999999997,0.0,0.0,1.0,1,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,8,A,g_phase_minus,-0.25,0.0,0.0,1.0,1,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,8,A,g_gain_high,-0.25,0.0,0.0,1.25,1,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,8,A,g_width_high,-0.25,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,8,B,g0,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,8,B,g_chi_plus,0.2505,0.0,0.0,1.5625,2,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,8,B,g_chi_minus,0.2495,0.0,0.0,1.5625,2,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,8,B,g_tau_plus,0.25,0.0004999999999999999,0.0,1.5625,2,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,8,B,g_tau_minus,0.25,-0.0004999999999999999,0.0,1.5625,2,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,8,B,g_phase_plus,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,8,B,g_phase_minus,0.24999999999999997,0.0,0.0,1.5625,2,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,8,B,g_gain_high,0.25,0.0,0.0,1.953125,2,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,8,B,g_width_high,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,8,C,g0,0.0,0.0,0.0,100.0,0,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,8,C,g_chi_plus,0.0004999999999999999,0.0,0.0,100.0,0,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,8,C,g_chi_minus,-0.0004999999999999999,0.0,0.0,100.0,0,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,8,C,g_tau_plus,0.0,0.0004999999999999999,0.0,100.0,0,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,8,C,g_tau_minus,0.0,-0.0004999999999999999,0.0,100.0,0,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,8,C,g_phase_plus,1.6918234906699602e-17,0.0,0.0,100.0,0,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,8,C,g_phase_minus,-2.279775235351884e-17,0.0,0.0,100.0,0,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,8,C,g_gain_high,0.0,0.0,0.0,125.0,0,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,8,C,g_width_high,0.0,0.0,0.0,100.0,0,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,9,A,g0,-0.25,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,9,A,g_chi_plus,-0.2495,0.0,0.0,1.0,1,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,9,A,g_chi_minus,-0.2505,0.0,0.0,1.0,1,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,9,A,g_tau_plus,-0.25,0.0004999999999999999,0.0,1.0,1,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,9,A,g_tau_minus,-0.25,-0.0004999999999999999,0.0,1.0,1,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,9,A,g_phase_plus,-0.24999999999999997,0.0,0.0,1.0,1,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,9,A,g_phase_minus,-0.25,0.0,0.0,1.0,1,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,9,A,g_gain_high,-0.25,0.0,0.0,1.25,1,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,9,A,g_width_high,-0.25,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,9,B,g0,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,9,B,g_chi_plus,0.2505,0.0,0.0,1.5625,2,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,9,B,g_chi_minus,0.2495,0.0,0.0,1.5625,2,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,9,B,g_tau_plus,0.25,0.0004999999999999999,0.0,1.5625,2,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,9,B,g_tau_minus,0.25,-0.0004999999999999999,0.0,1.5625,2,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,9,B,g_phase_plus,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,9,B,g_phase_minus,0.24999999999999997,0.0,0.0,1.5625,2,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,9,B,g_gain_high,0.25,0.0,0.0,1.953125,2,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,9,B,g_width_high,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,9,C,g0,0.0,0.0,0.0,100.0,0,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,9,C,g_chi_plus,0.0004999999999999999,0.0,0.0,100.0,0,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,9,C,g_chi_minus,-0.0004999999999999999,0.0,0.0,100.0,0,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,9,C,g_tau_plus,0.0,0.0004999999999999999,0.0,100.0,0,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,9,C,g_tau_minus,0.0,-0.0004999999999999999,0.0,100.0,0,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,9,C,g_phase_plus,1.6918234906699602e-17,0.0,0.0,100.0,0,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,9,C,g_phase_minus,-2.279775235351884e-17,0.0,0.0,100.0,0,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,9,C,g_gain_high,0.0,0.0,0.0,125.0,0,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,9,C,g_width_high,0.0,0.0,0.0,100.0,0,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,10,A,g0,-0.25,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,10,A,g_chi_plus,-0.2495,0.0,0.0,1.0,1,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,10,A,g_chi_minus,-0.2505,0.0,0.0,1.0,1,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,10,A,g_tau_plus,-0.25,0.0004999999999999999,0.0,1.0,1,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,10,A,g_tau_minus,-0.25,-0.0004999999999999999,0.0,1.0,1,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,10,A,g_phase_plus,-0.24999999999999997,0.0,0.0,1.0,1,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,10,A,g_phase_minus,-0.25,0.0,0.0,1.0,1,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,10,A,g_gain_high,-0.25,0.0,0.0,1.25,1,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,10,A,g_width_high,-0.25,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,10,B,g0,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,10,B,g_chi_plus,0.2505,0.0,0.0,1.5625,2,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,10,B,g_chi_minus,0.2495,0.0,0.0,1.5625,2,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,10,B,g_tau_plus,0.25,0.0004999999999999999,0.0,1.5625,2,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,10,B,g_tau_minus,0.25,-0.0004999999999999999,0.0,1.5625,2,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,10,B,g_phase_plus,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,10,B,g_phase_minus,0.24999999999999997,0.0,0.0,1.5625,2,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,10,B,g_gain_high,0.25,0.0,0.0,1.953125,2,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,10,B,g_width_high,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,10,C,g0,0.0,0.0,0.0,100.0,0,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,10,C,g_chi_plus,0.0004999999999999999,0.0,0.0,100.0,0,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,10,C,g_chi_minus,-0.0004999999999999999,0.0,0.0,100.0,0,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,10,C,g_tau_plus,0.0,0.0004999999999999999,0.0,100.0,0,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,10,C,g_tau_minus,0.0,-0.0004999999999999999,0.0,100.0,0,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,10,C,g_phase_plus,1.6918234906699602e-17,0.0,0.0,100.0,0,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,10,C,g_phase_minus,-2.279775235351884e-17,0.0,0.0,100.0,0,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,10,C,g_gain_high,0.0,0.0,0.0,125.0,0,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,10,C,g_width_high,0.0,0.0,0.0,100.0,0,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,11,A,g0,-0.25,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,11,A,g_chi_plus,-0.2495,0.0,0.0,1.0,1,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,11,A,g_chi_minus,-0.2505,0.0,0.0,1.0,1,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,11,A,g_tau_plus,-0.25,0.0004999999999999999,0.0,1.0,1,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,11,A,g_tau_minus,-0.25,-0.0004999999999999999,0.0,1.0,1,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,11,A,g_phase_plus,-0.24999999999999997,0.0,0.0,1.0,1,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,11,A,g_phase_minus,-0.25,0.0,0.0,1.0,1,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,11,A,g_gain_high,-0.25,0.0,0.0,1.25,1,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,11,A,g_width_high,-0.25,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,11,B,g0,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,11,B,g_chi_plus,0.2505,0.0,0.0,1.5625,2,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,11,B,g_chi_minus,0.2495,0.0,0.0,1.5625,2,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,11,B,g_tau_plus,0.25,0.0004999999999999999,0.0,1.5625,2,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,11,B,g_tau_minus,0.25,-0.0004999999999999999,0.0,1.5625,2,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,11,B,g_phase_plus,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,11,B,g_phase_minus,0.24999999999999997,0.0,0.0,1.5625,2,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,11,B,g_gain_high,0.25,0.0,0.0,1.953125,2,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,11,B,g_width_high,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,11,C,g0,0.0,0.0,0.0,100.0,0,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,11,C,g_chi_plus,0.0004999999999999999,0.0,0.0,100.0,0,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,11,C,g_chi_minus,-0.0004999999999999999,0.0,0.0,100.0,0,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,11,C,g_tau_plus,0.0,0.0004999999999999999,0.0,100.0,0,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,11,C,g_tau_minus,0.0,-0.0004999999999999999,0.0,100.0,0,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,11,C,g_phase_plus,1.6918234906699602e-17,0.0,0.0,100.0,0,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,11,C,g_phase_minus,-2.279775235351884e-17,0.0,0.0,100.0,0,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,11,C,g_gain_high,0.0,0.0,0.0,125.0,0,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,11,C,g_width_high,0.0,0.0,0.0,100.0,0,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,12,A,g0,-0.25,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,12,A,g_chi_plus,-0.2495,0.0,0.0,1.0,1,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,12,A,g_chi_minus,-0.2505,0.0,0.0,1.0,1,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,12,A,g_tau_plus,-0.25,0.0004999999999999999,0.0,1.0,1,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,12,A,g_tau_minus,-0.25,-0.0004999999999999999,0.0,1.0,1,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,12,A,g_phase_plus,-0.24999999999999997,0.0,0.0,1.0,1,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,12,A,g_phase_minus,-0.25,0.0,0.0,1.0,1,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,12,A,g_gain_high,-0.25,0.0,0.0,1.25,1,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,12,A,g_width_high,-0.25,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,12,B,g0,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,12,B,g_chi_plus,0.2505,0.0,0.0,1.5625,2,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,12,B,g_chi_minus,0.2495,0.0,0.0,1.5625,2,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,12,B,g_tau_plus,0.25,0.0004999999999999999,0.0,1.5625,2,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,12,B,g_tau_minus,0.25,-0.0004999999999999999,0.0,1.5625,2,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,12,B,g_phase_plus,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,12,B,g_phase_minus,0.24999999999999997,0.0,0.0,1.5625,2,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,12,B,g_gain_high,0.25,0.0,0.0,1.953125,2,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,12,B,g_width_high,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,12,C,g0,0.0,0.0,0.0,100.0,0,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,12,C,g_chi_plus,0.0004999999999999999,0.0,0.0,100.0,0,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,12,C,g_chi_minus,-0.0004999999999999999,0.0,0.0,100.0,0,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,12,C,g_tau_plus,0.0,0.0004999999999999999,0.0,100.0,0,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,12,C,g_tau_minus,0.0,-0.0004999999999999999,0.0,100.0,0,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,12,C,g_phase_plus,1.6918234906699602e-17,0.0,0.0,100.0,0,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,12,C,g_phase_minus,-2.279775235351884e-17,0.0,0.0,100.0,0,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,12,C,g_gain_high,0.0,0.0,0.0,125.0,0,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,12,C,g_width_high,0.0,0.0,0.0,100.0,0,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,13,A,g0,-0.25,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,13,A,g_chi_plus,-0.2495,0.0,0.0,1.0,1,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,13,A,g_chi_minus,-0.2505,0.0,0.0,1.0,1,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,13,A,g_tau_plus,-0.25,0.0004999999999999999,0.0,1.0,1,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,13,A,g_tau_minus,-0.25,-0.0004999999999999999,0.0,1.0,1,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,13,A,g_phase_plus,-0.24999999999999997,0.0,0.0,1.0,1,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,13,A,g_phase_minus,-0.25,0.0,0.0,1.0,1,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,13,A,g_gain_high,-0.25,0.0,0.0,1.25,1,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,13,A,g_width_high,-0.25,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,13,B,g0,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,13,B,g_chi_plus,0.2505,0.0,0.0,1.5625,2,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,13,B,g_chi_minus,0.2495,0.0,0.0,1.5625,2,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,13,B,g_tau_plus,0.25,0.0004999999999999999,0.0,1.5625,2,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,13,B,g_tau_minus,0.25,-0.0004999999999999999,0.0,1.5625,2,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,13,B,g_phase_plus,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,13,B,g_phase_minus,0.24999999999999997,0.0,0.0,1.5625,2,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,13,B,g_gain_high,0.25,0.0,0.0,1.953125,2,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,13,B,g_width_high,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,13,C,g0,0.0,0.0,0.0,100.0,0,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,13,C,g_chi_plus,0.0004999999999999999,0.0,0.0,100.0,0,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,13,C,g_chi_minus,-0.0004999999999999999,0.0,0.0,100.0,0,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,13,C,g_tau_plus,0.0,0.0004999999999999999,0.0,100.0,0,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,13,C,g_tau_minus,0.0,-0.0004999999999999999,0.0,100.0,0,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,13,C,g_phase_plus,1.6918234906699602e-17,0.0,0.0,100.0,0,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,13,C,g_phase_minus,-2.279775235351884e-17,0.0,0.0,100.0,0,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,13,C,g_gain_high,0.0,0.0,0.0,125.0,0,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,13,C,g_width_high,0.0,0.0,0.0,100.0,0,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,14,A,g0,-0.25,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,14,A,g_chi_plus,-0.2495,0.0,0.0,1.0,1,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,14,A,g_chi_minus,-0.2505,0.0,0.0,1.0,1,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,14,A,g_tau_plus,-0.25,0.0004999999999999999,0.0,1.0,1,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,14,A,g_tau_minus,-0.25,-0.0004999999999999999,0.0,1.0,1,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,14,A,g_phase_plus,-0.24999999999999997,0.0,0.0,1.0,1,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,14,A,g_phase_minus,-0.25,0.0,0.0,1.0,1,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,14,A,g_gain_high,-0.25,0.0,0.0,1.25,1,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,14,A,g_width_high,-0.25,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,14,B,g0,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,14,B,g_chi_plus,0.2505,0.0,0.0,1.5625,2,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,14,B,g_chi_minus,0.2495,0.0,0.0,1.5625,2,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,14,B,g_tau_plus,0.25,0.0004999999999999999,0.0,1.5625,2,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,14,B,g_tau_minus,0.25,-0.0004999999999999999,0.0,1.5625,2,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,14,B,g_phase_plus,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,14,B,g_phase_minus,0.24999999999999997,0.0,0.0,1.5625,2,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,14,B,g_gain_high,0.25,0.0,0.0,1.953125,2,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,14,B,g_width_high,0.25,0.0,0.0,1.5625,2,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,14,C,g0,0.0,0.0,0.0,100.0,0,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,14,C,g_chi_plus,0.0004999999999999999,0.0,0.0,100.0,0,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,14,C,g_chi_minus,-0.0004999999999999999,0.0,0.0,100.0,0,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,14,C,g_tau_plus,0.0,0.0004999999999999999,0.0,100.0,0,0.0,0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,14,C,g_tau_minus,0.0,-0.0004999999999999999,0.0,100.0,0,0.0,-0.0005,0.0,1.0,33
phase0_no_coupling,no_coupling,14,C,g_phase_plus,1.6918234906699602e-17,0.0,0.0,100.0,0,0.0,0.0,0.17,1.0,33
phase0_no_coupling,no_coupling,14,C,g_phase_minus,-2.279775235351884e-17,0.0,0.0,100.0,0,0.0,0.0,-0.23,1.0,33
phase0_no_coupling,no_coupling,14,C,g_gain_high,0.0,0.0,0.0,125.0,0,0.0,0.0,0.0,1.25,33
phase0_no_coupling,no_coupling,14,C,g_width_high,0.0,0.0,0.0,100.0,0,0.0,0.0,0.0,1.0,65
phase0_no_coupling,no_coupling,15,A,g0,-0.25,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,15,A,g_chi_plus,-0.2495,0.0,0.0,1.0,1,0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,15,A,g_chi_minus,-0.2505,0.0,0.0,1.0,1,-0.0005,0.0,0.0,1.0,33
phase0_no_coupling,no_coupling,15,A,g_tau_plus,-0.25,0.0004999999999999999,0.0,1.0,1,0.0,0.0005,0.0,1.0,33
